index,Tarih,Şimdi,Açılış,Yüksek,Düşük,Fark %
1344,26.08.2013,1.998,1.9858,2,1.983,0.51%
1343,27.08.2013,2.0363,1.996,2.041,1.9941,1.92%
1342,28.08.2013,2.0374,2.0345,2.073,2.0307,0.05%
1341,29.08.2013,2.0358,2.0382,2.0404,2.021,-0.08%
1340,30.08.2013,2.0403,2.0346,2.0455,2.0226,0.22%
1339,02.09.2013,2.0213,2.0341,2.035,2.008,-0.93%
1338,03.09.2013,2.0584,2.0208,2.063,2.0123,1.84%
1337,04.09.2013,2.0505,2.0575,2.067,2.03,-0.38%
1336,05.09.2013,2.0691,2.0475,2.0845,2.0437,0.91%
1335,06.09.2013,2.0465,2.0674,2.0755,2.0405,-1.09%
1334,09.09.2013,2.0266,2.044,2.0531,2.0224,-0.97%
1333,10.09.2013,2.0141,2.0246,2.037,2.002,-0.62%
1332,11.09.2013,2.0117,2.0125,2.027,2,-0.12%
1331,12.09.2013,2.0306,2.0097,2.0311,2.0055,0.94%
1330,13.09.2013,2.028,2.0295,2.039,2.019,-0.13%
1329,16.09.2013,2.0045,2.0259,2.0274,1.984,-1.16%
1328,17.09.2013,2.0018,2.0034,2.013,1.994,-0.13%
1327,18.09.2013,1.9501,2.001,2.009,1.941,-2.58%
1326,19.09.2013,1.9605,1.9499,1.9915,1.931,0.53%
1325,20.09.2013,1.9799,1.9592,1.987,1.9561,0.99%
1324,23.09.2013,1.9853,1.9766,1.9943,1.97,0.27%
1323,24.09.2013,1.9989,1.9835,2.0041,1.98,0.69%
1322,25.09.2013,2.016,1.9962,2.016,1.9922,0.86%
1321,26.09.2013,2.0227,2.0156,2.024,2.004,0.33%
1320,27.09.2013,2.0309,2.0215,2.043,2.012,0.41%
1319,30.09.2013,2.0186,2.0391,2.045,2.01,-0.61%
1318,01.10.2013,2.0094,2.018,2.021,1.9995,-0.46%
1317,02.10.2013,1.9939,2.0067,2.023,1.992,-0.77%
1316,03.10.2013,2.0029,1.9935,2.008,1.989,0.45%
1315,04.10.2013,1.9871,2.0002,2.002,1.983,-0.79%
1314,07.10.2013,1.9937,1.9852,2.0015,1.9835,0.33%
1313,08.10.2013,1.9889,1.9922,1.996,1.976,-0.24%
1312,09.10.2013,1.982,1.9895,1.9925,1.9775,-0.35%
1311,10.10.2013,1.9745,1.9805,1.986,1.97,-0.38%
1310,11.10.2013,1.9823,1.9747,1.987,1.969,0.40%
1309,14.10.2013,1.9818,1.9824,1.9913,1.977,-0.03%
1308,15.10.2013,1.9882,1.98,1.9891,1.9775,0.32%
1307,16.10.2013,1.9728,1.9868,1.9876,1.97,-0.77%
1306,17.10.2013,1.9659,1.9713,1.9781,1.9593,-0.35%
1305,18.10.2013,1.9686,1.9644,1.9726,1.96,0.14%
1304,21.10.2013,1.9812,1.9667,1.9839,1.962,0.64%
1303,22.10.2013,1.9685,1.9791,1.987,1.962,-0.64%
1302,23.10.2013,1.9758,1.9662,1.979,1.9647,0.37%
1301,24.10.2013,1.9796,1.9731,1.983,1.966,0.19%
1300,25.10.2013,1.9835,1.9778,1.989,1.974,0.20%
1299,28.10.2013,1.9841,1.9808,1.988,1.974,0.03%
1298,29.10.2013,1.9914,1.9825,1.993,1.9804,0.37%
1297,30.10.2013,1.9947,1.9903,1.9967,1.9775,0.17%
1296,31.10.2013,1.996,1.9933,1.998,1.984,0.07%
1295,01.11.2013,2.017,1.9942,2.022,1.989,1.05%
1294,04.11.2013,2.0162,2.0128,2.023,2.01,-0.04%
1293,05.11.2013,2.0298,2.0149,2.035,2.012,0.67%
1292,06.11.2013,2.0356,2.0295,2.039,2.021,0.29%
1291,07.11.2013,2.0352,2.0344,2.0393,2.018,-0.02%
1290,08.11.2013,2.039,2.0334,2.052,2.019,0.19%
1289,11.11.2013,2.0433,2.0366,2.0465,2.03,0.21%
1288,12.11.2013,2.0545,2.0414,2.059,2.039,0.55%
1287,13.11.2013,2.0442,2.0538,2.06,2.0417,-0.50%
1286,14.11.2013,2.0333,2.0424,2.051,2.0299,-0.53%
1285,15.11.2013,2.0293,2.032,2.043,2.0255,-0.20%
1284,18.11.2013,2.0219,2.0283,2.0325,2.013,-0.36%
1283,19.11.2013,2.0112,2.021,2.0235,2.002,-0.53%
1282,20.11.2013,2.0154,2.0103,2.0156,1.998,0.21%
1281,21.11.2013,2.0168,2.0139,2.026,2.011,0.07%
1280,22.11.2013,2.0057,2.0157,2.022,2.0024,-0.55%
1279,25.11.2013,2.0078,2.0036,2.0086,1.99,0.10%
1278,26.11.2013,2.0135,2.0064,2.022,1.9985,0.28%
1277,27.11.2013,2.0254,2.0112,2.028,2.008,0.59%
1276,28.11.2013,2.0147,2.0245,2.0248,2.01,-0.53%
1275,29.11.2013,2.0198,2.013,2.024,2.0099,0.25%
1274,02.12.2013,2.0389,2.0179,2.042,2.013,0.95%
1273,03.12.2013,2.0434,2.0381,2.0474,2.028,0.22%
1272,04.12.2013,2.0486,2.0412,2.0543,2.0376,0.25%
1271,05.12.2013,2.0368,2.0477,2.054,2.0314,-0.58%
1270,06.12.2013,2.0252,2.0354,2.053,2.015,-0.57%
1269,09.12.2013,2.0324,2.0226,2.036,2.0194,0.36%
1268,10.12.2013,2.0278,2.0312,2.0346,2.02,-0.23%
1267,11.12.2013,2.0429,2.0269,2.045,2.021,0.74%
1266,12.12.2013,2.0433,2.0418,2.047,2.032,0.02%
1265,13.12.2013,2.0404,2.0418,2.0462,2.034,-0.14%
1264,16.12.2013,2.0274,2.0405,2.0411,2.0225,-0.64%
1263,17.12.2013,2.036,2.0266,2.044,2.022,0.42%
1262,18.12.2013,2.0578,2.0349,2.0579,2.0333,1.07%
1261,19.12.2013,2.0728,2.0565,2.08,2.043,0.73%
1260,20.12.2013,2.0918,2.0705,2.098,2.0695,0.92%
1259,23.12.2013,2.0977,2.0893,2.0977,2.081,0.28%
1258,24.12.2013,2.0775,2.0959,2.0976,2.073,-0.96%
1257,25.12.2013,2.0956,2.0763,2.0956,2.058,0.87%
1256,26.12.2013,2.1271,2.0929,2.14,2.083,1.50%
1255,27.12.2013,2.1513,2.1264,2.177,2.1115,1.14%
1254,30.12.2013,2.1231,2.1496,2.1566,2.1175,-1.31%
1253,31.12.2013,2.1458,2.1229,2.158,2.1102,1.07%
1252,01.01.2014,2.1483,2.143,2.1483,2.143,0.12%
1251,02.01.2014,2.1713,2.1471,2.189,2.1446,1.07%
1250,03.01.2014,2.1785,2.1698,2.182,2.1595,0.33%
